Accession	Up/Down	Gene	Effect
GSE100888	up	UNC13C	Inhibit
GSE100888	up	MED4	Inhibit
GSE100888	up	DNAAF3	Inhibit
GSE100888	up	CACNA2D1	Inhibit
GSE100888	up	AFAP1	Inhibit
GSE100888	up	PCDHGA10	Inhibit
GSE100888	up	PCDHGA11	Inhibit
GSE100888	up	NUP93	Inhibit
GSE100888	up	ADPRM	Inhibit
GSE100888	up	MTHFD2	Inhibit
GSE100888	up	SCO2	Inhibit
GSE100888	up	PCDHB3	Inhibit
GSE100888	up	NHLRC2	Inhibit
GSE100888	up	TNFSF8	Inhibit
GSE100888	up	E430025E21RIK	Inhibit
GSE100888	up	RB1	Inhibit
GSE100888	up	CYFIP2	Inhibit
GSE100888	up	ATF3	Inhibit
GSE100888	up	NYAP2	Inhibit
GSE100888	up	ADCY1	Inhibit
GSE100888	up	SGMS1	Inhibit
GSE100888	up	LCAT	Inhibit
GSE100888	up	SNX32	Inhibit
GSE100888	up	TFPI	Inhibit
GSE100888	up	APOL6	Inhibit
GSE100888	up	FBXL21	Inhibit
GSE100888	up	CREB3L1	Inhibit
GSE100888	up	CAPNS2	Inhibit
GSE100888	up	FAM205A4	Inhibit
GSE100888	up	ZFP281	Inhibit
GSE100888	up	FAM205A2	Inhibit
GSE100888	up	MXI1	Inhibit
GSE100888	up	GM17081	Inhibit
GSE100888	up	SERPINF1	Inhibit
GSE100888	up	STOM	Inhibit
GSE100888	up	CYP1B1	Inhibit
GSE100888	up	PRKCI	Inhibit
GSE100888	up	ABCA1	Inhibit
GSE100888	up	NAPSA	Inhibit
GSE100888	up	NCKAP1L	Inhibit
GSE100888	up	STARD13	Inhibit
GSE100888	up	PLK2	Inhibit
GSE100888	up	MTHFR	Inhibit
GSE100888	up	GM19026	Inhibit
GSE100888	up	BAZ1A	Inhibit
GSE100888	up	CLPX	Inhibit
GSE100888	up	EHD4	Inhibit
GSE100888	up	RP23-145I16.3	Inhibit
GSE100888	up	PRKD1	Inhibit
GSE100888	up	FREM3	Inhibit
GSE100888	up	ATF4	Inhibit
GSE100888	up	GM10340	Inhibit
GSE100888	up	TFRC	Inhibit
GSE100888	up	NCAPG2	Inhibit
GSE100888	up	CDCA8	Inhibit
GSE100888	up	ENO4	Inhibit
GSE100888	up	ELK3	Inhibit
GSE100888	up	SMC3	Inhibit
GSE100888	up	ZC3H12C	Inhibit
GSE100888	up	KCNMB2	Inhibit
GSE100888	up	GM18190	Inhibit
GSE100888	up	PCDHA6	Inhibit
GSE100888	up	MYO18B	Inhibit
GSE100888	up	GSG1L	Inhibit
GSE100888	up	CYB5R1	Inhibit
GSE100888	up	LYN	Inhibit
GSE100888	up	ANXA3	Inhibit
GSE100888	up	9930021J03RIK	Inhibit
GSE100888	up	BC048403	Inhibit
GSE100888	up	SLC7A5	Inhibit
GSE100888	up	FAM101B	Inhibit
GSE100888	up	UBAP1	Inhibit
GSE100888	up	PMP2	Inhibit
GSE100888	up	GARS	Inhibit
