Accession	Up/Down	Gene
GSE41018	down	TTC3
GSE41018	down	ACOT13
GSE41018	down	COX6B1
GSE41018	down	DAB2IP
GSE41018	down	GAK
GSE41018	down	SPCS1
GSE41018	down	JKAMP
GSE41018	down	PLP1
GSE41018	down	TCEA2
GSE41018	down	B3GNT1
GSE41018	down	LAMTOR4
GSE41018	down	OAT
GSE41018	down	CSTB
GSE41018	down	COX5A
GSE41018	down	TMEM261
GSE41018	down	TUBA1A
GSE41018	down	COX5B
GSE41018	down	PPP1R2
GSE41018	down	SCAMP5
GSE41018	down	CST3
GSE41018	down	GUK1
GSE41018	down	UBL3
GSE41018	down	GM6548
GSE41018	down	CHN2
GSE41018	down	SLC17A6
GSE41018	down	CTNNA1
GSE41018	down	ENPP2
GSE41018	down	APPL2
GSE41018	down	FADS1
GSE41018	down	FBXW5
GSE41018	down	RNF44
GSE41018	down	CAR2
GSE41018	down	RPS9
GSE41018	down	LMO4
GSE41018	down	RPS6
GSE41018	down	2700094K13RIK
GSE41018	down	UQCC2
GSE41018	down	RPS7
GSE41018	down	APLP2
GSE41018	down	KLHDC2
GSE41018	down	HSD3B2
GSE41018	down	ATP1B3
GSE41018	down	WBP11
GSE41018	down	PPP1CB
GSE41018	down	MORF4L1
GSE41018	down	PCP2
GSE41018	down	ARHGAP32
GSE41018	down	LY6A
GSE41018	down	FAU
GSE41018	down	UBE2O
GSE41018	down	ARL8A
GSE41018	down	SRSF5
GSE41018	down	CDK2AP1
GSE41018	down	SCG5
GSE41018	down	LRP11
GSE41018	down	DEGS1
GSE41018	down	GRINA
GSE41018	down	S100A9
GSE41018	down	FAM92A
GSE41018	down	S100A8
GSE41018	down	CNTN1
GSE41018	down	CD81
GSE41018	down	SLC1A3
GSE41018	down	ASB13
GSE41018	down	TMEM242
GSE41018	down	COX6A1
GSE41018	down	RNFT2
GSE41018	down	ATP5J2
GSE41018	down	ARHGAP44
GSE41018	down	TUBB5
GSE41018	down	MFN2
GSE41018	down	RPS2
GSE41018	down	RAB28
GSE41018	down	NDUFV1
GSE41018	down	NSF
GSE41018	down	SLMO2
GSE41018	down	KCNAB2
GSE41018	down	PPTC7
GSE41018	down	EEF2
GSE41018	down	TBCA
GSE41018	down	DUSP26
GSE41018	down	PYGO2
GSE41018	down	REEP1
GSE41018	down	ARMCX2
GSE41018	down	PREPL
GSE41018	down	MAG
GSE41018	down	NACA
GSE41018	down	DRAP1
GSE41018	down	PCYOX1
GSE41018	down	PVALB
GSE41018	down	RAB3A
GSE41018	down	PMCH
GSE41018	down	COX17
GSE41018	down	CUL3
GSE41018	down	PPP1R9A
GSE41018	down	UQCRH
GSE41018	down	RIMS3
GSE41018	down	FNTB
GSE41018	down	UBC
GSE41018	down	UBB
GSE41018	down	MED30
GSE41018	down	BAG1
GSE41018	down	NDN
GSE41018	down	G3BP2
GSE41018	down	CAMTA2
GSE41018	down	FBRSL1
GSE41018	down	MBP
GSE41018	down	IGFBP7
GSE41018	down	COX14
GSE41018	down	MAF1
GSE41018	down	SH3GL2
GSE41018	down	AP2M1
GSE41018	down	GPX1
GSE41018	down	CBLN1
GSE41018	down	COA3
GSE41018	down	HSPA8
GSE41018	down	DTNBP1
GSE41018	down	NDUFC2
GSE41018	down	NDUFC1
GSE41018	down	SPTB
GSE41018	down	6330403K07RIK
GSE41018	down	ATP5F1
GSE41018	down	NIPSNAP1
GSE41018	down	IMPACT
GSE41018	down	NDUFS3
GSE41018	down	SCN4B
GSE41018	down	ARPP21
GSE41018	down	SERINC1
GSE41018	down	TMBIM6
GSE41018	down	LUC7L3
GSE41018	down	YWHAG
GSE41018	down	RTN1
GSE41018	down	NDUFB8
GSE41018	down	YWHAB
GSE41018	down	A230050P20RIK
GSE41018	down	ATP5L
GSE41018	down	HBA-A1
GSE41018	down	NDUFB3
GSE41018	down	MOBP
GSE41018	down	ELAVL2
GSE41018	down	DBP
GSE41018	down	ATP5B
GSE41018	down	SEP15
GSE41018	down	ATP5H
GSE41018	down	RPL36A
GSE41018	down	COX4I1
GSE41018	down	TIMM8B
GSE41018	down	H2AFZ
GSE41018	down	SMIM19
GSE41018	down	NDUFA6
GSE41018	down	IDH3G
GSE41018	down	VWF
GSE41018	down	RPL35A
GSE41018	down	KCTD2
GSE41018	down	NDUFA1
GSE41018	down	RPL23A
GSE41018	down	LMTK2
GSE41018	down	HDGFRP2
GSE41018	down	FAM155A
GSE41018	down	SBK1
GSE41018	down	SLC25A18
GSE41018	down	2700060E02RIK
GSE41018	down	PPAP2B
GSE41018	down	GM1821
GSE41018	down	RAB14
GSE41018	down	EIF3I
GSE41018	down	EIF3F
GSE41018	down	PFDN4
GSE41018	down	SLC25A5
GSE41018	down	MTCH1
GSE41018	down	EIF4A2
GSE41018	down	POLDIP2
GSE41018	down	ALAS1
GSE41018	down	DDX25
GSE41018	down	LDB1
GSE41018	down	PRPS1
GSE41018	down	EMC10
GSE41018	down	DCTN1
GSE41018	down	ATRAID
GSE41018	down	OGFRL1
GSE41018	down	TTR
GSE41018	down	XLR4A
GSE41018	down	CKMT1
GSE41018	down	SUMO2
GSE41018	down	SUMO1
GSE41018	down	RESP18
GSE41018	down	ZIC1
GSE41018	down	SUMO3
GSE41018	down	SAP30L
GSE41018	down	CHCHD1
GSE41018	down	IDH3A
GSE41018	down	BEND6
GSE41018	down	IDH3B
GSE41018	up	ENTPD4
GSE41018	up	ECH1
GSE41018	up	KRT8
GSE41018	up	SLC51A
GSE41018	up	TMEM82
GSE41018	up	MAPK14
GSE41018	up	NISCH
GSE41018	up	SLC5A8
GSE41018	up	ASS1
GSE41018	up	GSTZ1
GSE41018	up	AZGP1
GSE41018	up	HNRNPL
GSE41018	up	CCS
GSE41018	up	MGP
GSE41018	up	TEF
GSE41018	up	POLR3E
GSE41018	up	UQCRC2
GSE41018	up	UQCRC1
GSE41018	up	RPL28
GSE41018	up	HNRNPC
GSE41018	up	CALM3
GSE41018	up	IFITM3
GSE41018	up	RETSAT
GSE41018	up	RPL10
GSE41018	up	RPL12
GSE41018	up	CLDN2
GSE41018	up	RNF6
GSE41018	up	ACTB
GSE41018	up	PSMD4
GSE41018	up	ASPDH
GSE41018	up	RPL41
GSE41018	up	H2-EB1
GSE41018	up	ATP6AP1
GSE41018	up	SERPINF2
GSE41018	up	SLC34A1
GSE41018	up	TALDO1
GSE41018	up	GADD45G
GSE41018	up	SLC6A13
GSE41018	up	PDZK1
GSE41018	up	RPS27
GSE41018	up	RPS26
GSE41018	up	NCEH1
GSE41018	up	CYP2A5
GSE41018	up	TCN2
GSE41018	up	SFXN1
GSE41018	up	SERPING1
GSE41018	up	MEP1A
GSE41018	up	EZR
GSE41018	up	RPS25
GSE41018	up	ANAPC13
GSE41018	up	SLC22A6
GSE41018	up	RNPEPL1
GSE41018	up	SLC22A1
GSE41018	up	ACSM3
GSE41018	up	ARL6IP1
GSE41018	up	UGT8A
GSE41018	up	PTTG1IP
GSE41018	up	TXNDC15
GSE41018	up	MYLK
GSE41018	up	LRPAP1
GSE41018	up	GUCD1
GSE41018	up	APOM
GSE41018	up	RPS17
GSE41018	up	PRDX5
GSE41018	up	ADH1
GSE41018	up	FTH1
GSE41018	up	RPL39
GSE41018	up	RPS12
GSE41018	up	SLC19A1
GSE41018	up	SCARF2
GSE41018	up	RPS14
GSE41018	up	CDR2
GSE41018	up	MIOX
GSE41018	up	UPF2
GSE41018	up	H3F3B
GSE41018	up	AKR1A1
GSE41018	up	NME2
GSE41018	up	PDZK1IP1
GSE41018	up	CYP2J13
GSE41018	up	GARS
GSE41018	up	ALDOB
GSE41018	up	SGK2
GSE41018	up	HIBADH
GSE41018	up	ACY3
GSE41018	up	SDC4
GSE41018	up	RPN2
GSE41018	up	HIST2H2AC
GSE41018	up	CSDE1
GSE41018	up	KHK
GSE41018	up	CX3CL1
GSE41018	up	GLG1
GSE41018	up	LDHD
GSE41018	up	TMEM27
GSE41018	up	LDHA
GSE41018	up	TRIM8
GSE41018	up	SLC22A18
GSE41018	up	HNF4A
GSE41018	up	TIMP3
GSE41018	up	HAO2
GSE41018	up	IL11RA1
GSE41018	up	SLC22A12
GSE41018	up	CD52
GSE41018	up	NPM3
GSE41018	up	DGAT2
GSE41018	up	TMEM176B
GSE41018	up	SUSD2
GSE41018	up	FMO1
GSE41018	up	BGN
GSE41018	up	NR1H4
GSE41018	up	LAPTM5
GSE41018	up	TUBB4B
GSE41018	up	AES
GSE41018	up	GUCA2B
GSE41018	up	RAB11B
GSE41018	up	COL4A1
GSE41018	up	COL4A2
GSE41018	up	AGPS
GSE41018	up	IVD
GSE41018	up	ANGPTL4
GSE41018	up	CYP2E1
GSE41018	up	SLC22A22
GSE41018	up	SLC29A3
GSE41018	up	BSCL2
GSE41018	up	ERRFI1
GSE41018	up	GRN
GSE41018	up	GCNT1
GSE41018	up	CENPB
GSE41018	up	HERPUD1
GSE41018	up	GNAI2
GSE41018	up	SMG7
GSE41018	up	ESM1
GSE41018	up	TMSB4X
GSE41018	up	CST3
GSE41018	up	SPTLC1
GSE41018	up	FCGRT
GSE41018	up	CAMK2N1
GSE41018	up	OLFML3
GSE41018	up	GM6548
GSE41018	up	NUDT19
GSE41018	up	METTL7B
GSE41018	up	NPM3-PS1
GSE41018	up	CAR4
GSE41018	up	G6PC
GSE41018	up	CD74
GSE41018	up	SPINK3
GSE41018	up	CD164
GSE41018	up	LMO4
GSE41018	up	THNSL2
GSE41018	up	VCAM1
GSE41018	up	FAH
GSE41018	up	SLC25A39
GSE41018	up	ALDH4A1
GSE41018	up	AXL
GSE41018	up	LY6A
GSE41018	up	WBP1L
GSE41018	up	LY6E
GSE41018	up	ZYX
GSE41018	up	FKBP8
GSE41018	up	SQSTM1
GSE41018	up	FKBP5
GSE41018	up	LRP10
GSE41018	up	AGRN
GSE41018	up	CYP4A12A
GSE41018	up	SLC27A2
GSE41018	up	PLVAP
GSE41018	up	ODC1
GSE41018	up	HAAO
GSE41018	up	DLST
GSE41018	up	CCBL1
GSE41018	up	2510009E07RIK
GSE41018	up	PARK7
GSE41018	up	CLU
GSE41018	up	ASB13
GSE41018	up	ACAA1B
GSE41018	up	ATP1A1
GSE41018	up	LOXL1
GSE41018	up	GALNT11
GSE41018	up	NDRG1
GSE41018	up	CTGF
GSE41018	up	CYP2D12
GSE41018	up	SPOP
GSE41018	up	TBC1D13
GSE41018	up	HMGN1
GSE41018	up	NDUFV1
GSE41018	up	HMGN2
GSE41018	up	OSBPL9
GSE41018	up	TTC36
GSE41018	up	F2R
GSE41018	up	IGFBP5
GSE41018	up	IGFBP4
GSE41018	up	PRNP
GSE41018	up	TMEM120A
GSE41018	up	EPHX2
GSE41018	up	CYBA
GSE41018	up	SLC9A3R1
GSE41018	up	COASY
GSE41018	up	PROC
GSE41018	up	NAT8
GSE41018	up	MLXIPL
GSE41018	up	DDAH1
GSE41018	up	STT3B
GSE41018	up	CDHR5
GSE41018	up	CDH16
GSE41018	up	ACBD4
GSE41018	up	FTO
GSE41018	up	VCP
GSE41018	up	GSTT2
GSE41018	up	GLYAT
GSE41018	up	CORO1C
GSE41018	up	AKR7A5
GSE41018	up	TGM2
GSE41018	up	SLCO2B1
GSE41018	up	CML1
GSE41018	up	SNN
GSE41018	up	HYI
GSE41018	up	UGT3A2
GSE41018	up	PIM3
GSE41018	up	UGT3A1
GSE41018	up	THEM7
GSE41018	up	MAF1
GSE41018	up	BCKDHA
GSE41018	up	CYB5B
GSE41018	up	HMGCS1
GSE41018	up	CMTM6
GSE41018	up	KCNJ15
GSE41018	up	MT1
GSE41018	up	EDF1
GSE41018	up	INMT
GSE41018	up	ABHD14B
GSE41018	up	DAO
GSE41018	up	DAB2
GSE41018	up	CES1D
GSE41018	up	DNASE1
GSE41018	up	ACOX3
GSE41018	up	TMBIM4
GSE41018	up	CES1F
GSE41018	up	SUPT6
GSE41018	up	EEF1G
GSE41018	up	MYH9
GSE41018	up	MAN2B1
GSE41018	up	TMBIM6
GSE41018	up	FBP1
GSE41018	up	H6PD
GSE41018	up	GMPR
GSE41018	up	ITPR1
GSE41018	up	PSAP
GSE41018	up	EIF4H
GSE41018	up	BOK
GSE41018	up	NADK
GSE41018	up	KLHDC10
GSE41018	up	HIST1H1C
GSE41018	up	RHBDF1
GSE41018	up	AMN
GSE41018	up	TIMD2
GSE41018	up	CYP4B1
GSE41018	up	TAF10
GSE41018	up	YWHAZ
GSE41018	up	MTOR
GSE41018	up	SOD1
GSE41018	up	EVC
GSE41018	up	KLF9
GSE41018	up	PPM1B
GSE41018	up	DEFB29
GSE41018	up	GM1821
GSE41018	up	TXNIP
GSE41018	up	KAP
GSE41018	up	P4HB
GSE41018	up	EIF3F
GSE41018	up	SLC25A10
GSE41018	up	EIF3D
GSE41018	up	GAPDH
GSE41018	up	FOLR1
GSE41018	up	RNF10
GSE41018	up	KEG1
GSE41018	up	ABCD3
GSE41018	up	FHL1
GSE41018	up	TREH
GSE41018	up	ETFB
GSE41018	up	PRELP
GSE41018	up	MIEN1
GSE41018	up	GM2A
GSE41018	down	SLC12A3
GSE41018	down	STARD4
GSE41018	down	EGF
GSE41018	down	ATP6V1E1
GSE41018	down	TMEM52B
GSE41018	down	SLC12A1
GSE41018	down	ACSL5
GSE41018	down	PPA1
GSE41018	down	AP1AR
GSE41018	down	IFI27
GSE41018	down	CD9
GSE41018	down	ACOT3
GSE41018	down	IGTP
GSE41018	down	SUCLG1
GSE41018	down	CDO1
GSE41018	down	APP
GSE41018	down	BC031181
GSE41018	down	POMP
GSE41018	down	PON2
GSE41018	down	WBP5
GSE41018	down	ATP5A1
GSE41018	down	UQCR10
GSE41018	down	UQCR11
GSE41018	down	AQP3
GSE41018	down	FNBP1L
GSE41018	down	RNASET2B
GSE41018	down	BC002163
GSE41018	down	EXOSC7
GSE41018	down	RPL36AL
GSE41018	down	ST3GAL6
GSE41018	down	PIP4K2C
GSE41018	down	RABAC1
GSE41018	down	B2M
GSE41018	down	HOXA5
GSE41018	down	S100A11
GSE41018	down	TMEM184B
GSE41018	down	COX8A
GSE41018	down	GSTK1
GSE41018	down	GABARAPL1
GSE41018	down	NAPSA
GSE41018	down	BHMT2
GSE41018	down	MIF
GSE41018	down	DDIT4L
GSE41018	down	IRGM2
GSE41018	down	COX7A2L
GSE41018	down	AIF1L
GSE41018	down	FERMT1
GSE41018	down	WDR61
GSE41018	down	PPP1R1A
GSE41018	down	LGMN
GSE41018	down	PTPLAD1
GSE41018	down	RPS21
GSE41018	down	RPS20
GSE41018	down	PRR13
GSE41018	down	ITM2B
GSE41018	down	HOXB7
GSE41018	down	RPL5
GSE41018	down	CFD
GSE41018	down	RPL3
GSE41018	down	GLDC
GSE41018	down	RPL35
GSE41018	down	MRPL17
GSE41018	down	GDE1
GSE41018	down	MGST3
GSE41018	down	WFDC2
GSE41018	down	ATP5C1
GSE41018	down	AKR1C19
GSE41018	down	MGST1
GSE41018	down	RPL9
GSE41018	down	C3
GSE41018	down	RPS16
GSE41018	down	HSPH1
GSE41018	down	PRDX4
GSE41018	down	RPL37
GSE41018	down	HOXC6
GSE41018	down	APOE
GSE41018	down	TIMM17A
GSE41018	down	IER3
GSE41018	down	CTSB
GSE41018	down	BTF3
GSE41018	down	GSTM2
GSE41018	down	GSTM1
GSE41018	down	ATPIF1
GSE41018	down	SSR4
GSE41018	down	PSG23
GSE41018	down	COX6C
GSE41018	down	MRPS6
GSE41018	down	2010107E04RIK
GSE41018	down	CYP2J11
GSE41018	down	CLDN10
GSE41018	down	TMEM33
GSE41018	down	CLDN16
GSE41018	down	FXYD2
GSE41018	down	AKR1B10
GSE41018	down	GAS6
GSE41018	down	HOXD8
GSE41018	down	DAZAP2
GSE41018	down	COX7C
GSE41018	down	BTG1
GSE41018	down	KLK1
GSE41018	down	ARF1
GSE41018	down	MRPS12
GSE41018	down	CETN3
GSE41018	down	ADK
GSE41018	down	LITAF
GSE41018	down	RPS27L
GSE41018	down	UMOD
GSE41018	down	OAZ1
GSE41018	down	ECHS1
GSE41018	down	MRPL33
GSE41018	down	MRPL34
GSE41018	down	SHD
GSE41018	down	SERPINA1B
GSE41018	down	SULT1C2
GSE41018	down	SERPINA1D
GSE41018	down	KLK1B5
GSE41018	down	NEU1
GSE41018	down	DYNC1I2
GSE41018	down	CBR3
GSE41018	down	ADIPOQ
GSE41018	down	CBR1
GSE41018	down	ELOVL5
GSE41018	down	GSTO1
GSE41018	down	PGAM2
GSE41018	down	MRPS24
GSE41018	down	ACOT13
GSE41018	down	SYVN1
GSE41018	down	COX6B1
GSE41018	down	MRPL53
GSE41018	down	SPSB4
GSE41018	down	HADHB
GSE41018	down	FABP3
GSE41018	down	PSMA2
GSE41018	down	SPCS1
GSE41018	down	PSMA3
GSE41018	down	OAT
GSE41018	down	HRSP12
GSE41018	down	CSTB
GSE41018	down	COX5A
GSE41018	down	NDUFA12
GSE41018	down	NDUFA13
GSE41018	down	CTNNB1
GSE41018	down	NDUFA10
GSE41018	down	RPLP1
GSE41018	down	TMEM51
GSE41018	down	TMEM261
GSE41018	down	COX5B
GSE41018	down	SLC8A1
GSE41018	down	NUDT4
GSE41018	down	HOXD10
GSE41018	down	MCEE
GSE41018	down	RANBP3L
GSE41018	down	UBL5
GSE41018	down	GUK1
GSE41018	down	TMEM147
GSE41018	down	TUBA1B
GSE41018	down	ACADM
GSE41018	down	SOSTDC1
GSE41018	down	CKB
GSE41018	down	CTNNA1
GSE41018	down	ENPP2
GSE41018	down	SCD1
GSE41018	down	ENPP5
GSE41018	down	FADS1
GSE41018	down	RNF44
GSE41018	down	RAB2A
GSE41018	down	HSD3B4
GSE41018	down	S100A1
GSE41018	down	RPS6
GSE41018	down	UQCC2
GSE41018	down	RPS7
GSE41018	down	KLHDC2
GSE41018	down	RARRES2
GSE41018	down	ATP1B3
GSE41018	down	CYP51
GSE41018	down	SDHC
GSE41018	down	NCCRP1
GSE41018	down	ATP1B1
GSE41018	down	NRBP2
GSE41018	down	TMEM256
GSE41018	down	NUPR1
GSE41018	down	CYP24A1
GSE41018	down	GSTA4
GSE41018	down	GSTA2
GSE41018	down	GSTA1
GSE41018	down	CRYL1
GSE41018	down	PPIF
GSE41018	down	ISCU
GSE41018	down	PPIC
GSE41018	down	DEGS1
GSE41018	down	GRINA
GSE41018	down	S100A8
GSE41018	down	IVNS1ABP
GSE41018	down	UGT1A10
GSE41018	down	CD81
GSE41018	down	RASL11B
GSE41018	down	HSD17B4
GSE41018	down	ACAA1A
GSE41018	down	PAPSS1
GSE41018	down	TMEM242
GSE41018	down	COX6A1
GSE41018	down	ATP5J2
GSE41018	down	LAPTM4A
GSE41018	down	CCND1
GSE41018	down	SPP2
GSE41018	down	MFN2
GSE41018	down	CAR15
GSE41018	down	COTL1
GSE41018	down	RAB28
GSE41018	down	SPP1
GSE41018	down	RPS3
GSE41018	down	AI317395
GSE41018	down	NDUFV2
GSE41018	down	ACSS1
GSE41018	down	CADPS2
GSE41018	down	ESRRB
GSE41018	down	IDH1
GSE41018	down	EPHX1
GSE41018	down	CISH
GSE41018	down	IDH2
GSE41018	down	CHCHD10
GSE41018	down	DSTN
GSE41018	down	BC021785
GSE41018	down	ARPC5
GSE41018	down	TBCA
GSE41018	down	SDCBP
GSE41018	down	ATP6V0E
GSE41018	down	PVALB
GSE41018	down	BLVRA
GSE41018	down	ATP6V1D
GSE41018	down	COX17
GSE41018	down	UQCRB
GSE41018	down	LPL
GSE41018	down	SLC2A1
GSE41018	down	TACSTD2
GSE41018	down	GSTT3
GSE41018	down	UQCRH
GSE41018	down	UBC
GSE41018	down	UAP1L1
GSE41018	down	APMAP
GSE41018	down	UBB
GSE41018	down	BAG1
GSE41018	down	NDEL1
GSE41018	down	COX14
GSE41018	down	ATP6V1F
GSE41018	down	ATP6V1H
GSE41018	down	EFHD1
GSE41018	down	COA3
GSE41018	down	GPX3
GSE41018	down	HMGCS2
GSE41018	down	HSPA8
GSE41018	down	CYP4A14
GSE41018	down	DTNBP1
GSE41018	down	NDUFC2
GSE41018	down	NDUFC1
GSE41018	down	ATP5F1
GSE41018	down	RABGGTB
GSE41018	down	NDUFS8
GSE41018	down	NDUFS7
GSE41018	down	CHPT1
GSE41018	down	NDUFS3
GSE41018	down	SCN4B
GSE41018	down	SOWAHB
GSE41018	down	VIMP
GSE41018	down	LYZ1
GSE41018	down	GAL3ST1
GSE41018	down	SLC25A3
GSE41018	down	NDUFB8
GSE41018	down	TRF
GSE41018	down	ATP5L
GSE41018	down	HBA-A1
GSE41018	down	CLCNKB
GSE41018	down	CLCNKA
GSE41018	down	ATP5J
GSE41018	down	KNG1
GSE41018	down	ATP5B
GSE41018	down	SCIN
GSE41018	down	ATP5H
GSE41018	down	COX4I1
GSE41018	down	SMIM14
GSE41018	down	NDUFA9
GSE41018	down	TIMM8B
GSE41018	down	NDUFA7
GSE41018	down	IDH3G
GSE41018	down	GLRX5
GSE41018	down	NDUFA5
GSE41018	down	NDUFA4
GSE41018	down	NDUFA3
GSE41018	down	NDUFA2
GSE41018	down	IMMT
GSE41018	down	RPL23A
GSE41018	down	FH1
GSE41018	down	SOD2
GSE41018	down	TWSG1
GSE41018	down	BOLA3
GSE41018	down	RAB14
GSE41018	down	EIF3I
GSE41018	down	SLC25A5
GSE41018	down	EIF4A2
GSE41018	down	WFDC15B
GSE41018	down	POLDIP2
GSE41018	down	EMC10
GSE41018	down	ETFA
GSE41018	down	ATP2A2
GSE41018	down	UROC1
GSE41018	down	ATP5G3
GSE41018	down	ATP5G1
GSE41018	down	FLCN
GSE41018	down	TTR
GSE41018	down	XLR4A
GSE41018	down	RPS4X
GSE41018	down	CKMT1
GSE41018	down	CD59A
GSE41018	down	CCL8
GSE41018	down	OXCT1
GSE41018	down	ALDH2
GSE41018	down	1110001J03RIK
GSE41018	down	CTNNAL1
GSE41018	down	NPTN
