Accession	Up/Down	Gene
GSE41018	up	DDIT4
GSE41018	up	TXNIP
GSE41018	up	VDAC1
GSE41018	up	MURC
GSE41018	up	CEBPB
GSE41018	up	ACADVL
GSE41018	up	COL15A1
GSE41018	up	FHL1
GSE41018	up	FHL2
GSE41018	up	ATP2A2
GSE41018	up	ETFB
GSE41018	up	ATP5G3
GSE41018	up	ATP5G2
GSE41018	up	PBXIP1
GSE41018	up	PLN
GSE41018	up	ALDH2
GSE41018	up	MYBPHL
GSE41018	up	TNNI3
GSE41018	up	1110001J03RIK
GSE41018	up	NOMO1
GSE41018	down	ATP6V1E1
GSE41018	down	PCGF5
GSE41018	down	RPL24
GSE41018	down	ZFYVE21
GSE41018	down	AP1B1
GSE41018	down	IFT81
GSE41018	down	AP1AR
GSE41018	down	DES
GSE41018	down	MGP
GSE41018	down	IFI27
GSE41018	down	MYL3
GSE41018	down	PSMC2
GSE41018	down	UQCRC2
GSE41018	down	TMEM126A
GSE41018	down	ASB8
GSE41018	down	IGTP
GSE41018	down	SUCLG1
GSE41018	down	RPL27
GSE41018	down	VPS28
GSE41018	down	ASB2
GSE41018	down	WBP2
GSE41018	down	POMP
GSE41018	down	ATP5A1
GSE41018	down	MSANTD4
GSE41018	down	GLRX
GSE41018	down	RNASET2B
GSE41018	down	PSMB10
GSE41018	down	PARL
GSE41018	down	C4B
GSE41018	down	PSMD8
GSE41018	down	MOV10L1
GSE41018	down	LONP2
GSE41018	down	SERPINF1
GSE41018	down	AAMDC
GSE41018	down	B2M
GSE41018	down	WFDC17
GSE41018	down	GBP3
GSE41018	down	PTGDS
GSE41018	down	NDFIP1
GSE41018	down	GSTK1
GSE41018	down	RPL41
GSE41018	down	XBP1
GSE41018	down	TANGO2
GSE41018	down	IRGM2
GSE41018	down	IRGM1
GSE41018	down	GBAS
GSE41018	down	THAP11
GSE41018	down	RPL3L
GSE41018	down	SLC6A6
GSE41018	down	ACER2
GSE41018	down	EHD4
GSE41018	down	AIMP1
GSE41018	down	CTAGE5
GSE41018	down	JTB
GSE41018	down	PKIA
GSE41018	down	NDUFAF4
GSE41018	down	SIVA1
GSE41018	down	SSPN
GSE41018	down	RPS20
GSE41018	down	HBP1
GSE41018	down	ITM2B
GSE41018	down	NMT1
GSE41018	down	CFD
GSE41018	down	ISCA1
GSE41018	down	RNPEPL1
GSE41018	down	GATA6
GSE41018	down	ATP5C1
GSE41018	down	MGST1
GSE41018	down	TXNDC15
GSE41018	down	GVIN1
GSE41018	down	FARS2
GSE41018	down	MRPL14
GSE41018	down	HTATSF1
GSE41018	down	GSPT1
GSE41018	down	C3
GSE41018	down	PRDX3
GSE41018	down	FAM134B
GSE41018	down	GJA1
GSE41018	down	MRPL9
GSE41018	down	DYM
GSE41018	down	FTH1
GSE41018	down	PRDX1
GSE41018	down	SRP54A
GSE41018	down	FAM53A
GSE41018	down	TIMM17A
GSE41018	down	PRKACB
GSE41018	down	APOD
GSE41018	down	IER3
GSE41018	down	RPS13
GSE41018	down	LYPLA2
GSE41018	down	GSTM2
GSE41018	down	PDHA1
GSE41018	down	ATPIF1
GSE41018	down	SSR3
GSE41018	down	SSR4
GSE41018	down	MRPL28
GSE41018	down	GAB1
GSE41018	down	AGTR1A
GSE41018	down	CP
GSE41018	down	VEGFB
GSE41018	down	MRPL30
GSE41018	down	MRPS9
GSE41018	down	BHLHE40
GSE41018	down	CCNG1
GSE41018	down	MYZAP
GSE41018	down	FXYD6
GSE41018	down	GGNBP2
GSE41018	down	D10JHU81E
GSE41018	down	DAZAP2
GSE41018	down	COX7C
GSE41018	down	TMED10
GSE41018	down	MRPS17
GSE41018	down	HIBADH
GSE41018	down	RRAD
GSE41018	down	BTG1
GSE41018	down	ARF1
GSE41018	down	ADK
GSE41018	down	CSDE1
GSE41018	down	RPS27L
GSE41018	down	MRPL38
GSE41018	down	ECHS1
GSE41018	down	HINT2
GSE41018	down	SOCS2
GSE41018	down	SUDS3
GSE41018	down	1110058L19RIK
GSE41018	down	NPM1
GSE41018	down	CDV3
GSE41018	down	PRORSD1
GSE41018	down	NFYC
GSE41018	down	GSTO1
GSE41018	down	MRPS23
GSE41018	down	PGAM2
GSE41018	down	MRPS24
GSE41018	down	ACOT13
GSE41018	down	SYVN1
GSE41018	down	LAPTM5
GSE41018	down	LRG1
GSE41018	down	RAB11B
GSE41018	down	TMEM60
GSE41018	down	COX6B1
GSE41018	down	PPP2CA
GSE41018	down	HADHB
GSE41018	down	FABP3
GSE41018	down	PSMA5
GSE41018	down	SPCS1
GSE41018	down	PSMA3
GSE41018	down	BDH1
GSE41018	down	RIT1
GSE41018	down	FAM195A
GSE41018	down	IVD
GSE41018	down	PLIN3
GSE41018	down	CYP2E1
GSE41018	down	PNPLA2
GSE41018	down	OAT
GSE41018	down	CSTB
GSE41018	down	COX5A
GSE41018	down	POPDC2
GSE41018	down	GRN
GSE41018	down	PIGP
GSE41018	down	NDUFA10
GSE41018	down	HDC
GSE41018	down	MRPS30
GSE41018	down	TMEM261
GSE41018	down	TRAK2
GSE41018	down	COX5B
GSE41018	down	CST3
GSE41018	down	GUK1
GSE41018	down	TMEM147
GSE41018	down	ACADM
GSE41018	down	ACADL
GSE41018	down	PSMB4
GSE41018	down	MRC1
GSE41018	down	CKB
GSE41018	down	NUDT19
GSE41018	down	FADS1
GSE41018	down	GSN
GSE41018	down	CD164
GSE41018	down	S100A1
GSE41018	down	RPS7
GSE41018	down	KLHDC2
GSE41018	down	SERPINA3N
GSE41018	down	ATP1B3
GSE41018	down	FAH
GSE41018	down	WBP11
GSE41018	down	PPP1CB
GSE41018	down	KLHL21
GSE41018	down	EEF1A2
GSE41018	down	TMEM256
GSE41018	down	LY6A
GSE41018	down	YIPF7
GSE41018	down	UBE2O
GSE41018	down	PPIF
GSE41018	down	CDK2AP1
GSE41018	down	SQSTM1
GSE41018	down	GRINA
GSE41018	down	S100A9
GSE41018	down	S100A8
GSE41018	down	IVNS1ABP
GSE41018	down	4930453N24RIK
GSE41018	down	CD81
GSE41018	down	HSD17B4
GSE41018	down	ZFP36L1
GSE41018	down	CLU
GSE41018	down	HSD17B7
GSE41018	down	HDLBP
GSE41018	down	BZW2
GSE41018	down	TMEM242
GSE41018	down	ATP5J2
GSE41018	down	ARHGAP44
GSE41018	down	LAPTM4A
GSE41018	down	CCND2
GSE41018	down	TUBB5
GSE41018	down	LAMP2
GSE41018	down	EMC2
GSE41018	down	GPC1
GSE41018	down	MFN2
GSE41018	down	RPS2
GSE41018	down	RAB28
GSE41018	down	NDUFV2
GSE41018	down	ACSS1
GSE41018	down	NDUFV1
GSE41018	down	MFN1
GSE41018	down	ESRRB
GSE41018	down	ESRRA
GSE41018	down	GOT2
GSE41018	down	CISH
GSE41018	down	IGFBP5
GSE41018	down	AIP
GSE41018	down	CHCHD10
GSE41018	down	ZFP46
GSE41018	down	DRAP1
GSE41018	down	STT3B
GSE41018	down	CD274
GSE41018	down	ATP6V1D
GSE41018	down	COX17
GSE41018	down	UQCRB
GSE41018	down	CUL3
GSE41018	down	EIF4EBP1
GSE41018	down	LGALS3BP
GSE41018	down	H2-KE6
GSE41018	down	FCNA
GSE41018	down	UQCRH
GSE41018	down	TMEM223
GSE41018	down	NRD1
GSE41018	down	UBC
GSE41018	down	UROD
GSE41018	down	NPPA
GSE41018	down	BAG1
GSE41018	down	ACAA2
GSE41018	down	CYC1
GSE41018	down	COX10
GSE41018	down	GPX1
GSE41018	down	HSPA9
GSE41018	down	CYB5B
GSE41018	down	DARS
GSE41018	down	EIF2AK2
GSE41018	down	HSPA8
GSE41018	down	CCZ1
GSE41018	down	DTNBP1
GSE41018	down	NDUFC2
GSE41018	down	ATP5F1
GSE41018	down	RABGGTB
GSE41018	down	HIGD2A
GSE41018	down	NDUFS8
GSE41018	down	NDUFS7
GSE41018	down	TMBIM4
GSE41018	down	CHPT1
GSE41018	down	NDUFS3
GSE41018	down	SERINC1
GSE41018	down	MAN2B1
GSE41018	down	TMBIM6
GSE41018	down	GRSF1
GSE41018	down	VIMP
GSE41018	down	IFI27L2A
GSE41018	down	SLC25A3
GSE41018	down	NDUFB8
GSE41018	down	HSPB6
GSE41018	down	NDUFB5
GSE41018	down	HBA-A1
GSE41018	down	ATP5J
GSE41018	down	DBP
GSE41018	down	ATP5H
GSE41018	down	MCL1
GSE41018	down	HIST1H1C
GSE41018	down	PLA2G12A
GSE41018	down	NDUFA9
GSE41018	down	TIMM8B
GSE41018	down	IRX3
GSE41018	down	IDH3G
GSE41018	down	NDUFA4
GSE41018	down	MID1IP1
GSE41018	down	IMMT
GSE41018	down	DCN
GSE41018	down	FH1
GSE41018	down	SOD2
GSE41018	down	RAB12
GSE41018	down	2700060E02RIK
GSE41018	down	P4HB
GSE41018	down	EIF3I
GSE41018	down	VDAC2
GSE41018	down	SMPDL3A
GSE41018	down	PFDN4
GSE41018	down	EIF3G
GSE41018	down	EIF3D
GSE41018	down	SLC25A5
GSE41018	down	EIF4A2
GSE41018	down	POLDIP2
GSE41018	down	ALAS1
GSE41018	down	MGRN1
GSE41018	down	LDB1
GSE41018	down	ETFA
GSE41018	down	NENF
GSE41018	down	DCTN1
GSE41018	down	TTN
GSE41018	down	SRL
GSE41018	down	LRRC14B
GSE41018	down	ATP5G1
GSE41018	down	EDNRA
GSE41018	down	CKMT2
GSE41018	down	CD59A
GSE41018	down	CCL8
GSE41018	down	MIEN1
GSE41018	down	SUMO1
GSE41018	down	CHCHD7
GSE41018	down	SAP30L
GSE41018	down	SLC25A20
GSE41018	down	VSIG4
GSE41018	down	CTNNAL1
GSE41018	down	RPL7A
GSE41018	down	IDH3A
GSE41018	up	CHGB
GSE41018	up	WSB1
GSE41018	up	SLC12A6
