Accession	Up/Down	Gene	Effect
GSE89672	up	STARD4	Activate
GSE89672	up	UNC13A	Activate
GSE89672	up	POLR2J2	Activate
GSE89672	up	DNAAF1	Activate
GSE89672	up	CACNA2D4	Activate
GSE89672	up	HPCAL1	Activate
GSE89672	up	SOX13	Activate
GSE89672	up	C12ORF76	Activate
GSE89672	up	CPEB2	Activate
GSE89672	up	SCD	Activate
GSE89672	up	CPEB1	Activate
GSE89672	up	TMEM79	Activate
GSE89672	up	PI4K2A	Activate
GSE89672	up	MAML3	Activate
GSE89672	up	TRIM16L	Activate
GSE89672	up	AP5Z1	Activate
GSE89672	up	SERPINE2	Activate
GSE89672	up	KIAA1211	Activate
GSE89672	up	SLC5A3	Activate
GSE89672	up	RP11-577H5.5	Activate
GSE89672	up	APOL6	Activate
GSE89672	up	LURAP1L	Activate
GSE89672	up	ST3GAL1	Activate
GSE89672	up	FDFT1	Activate
GSE89672	up	NGFR	Activate
GSE89672	up	CNOT6L	Activate
GSE89672	up	PROSER1	Activate
GSE89672	up	GABARAPL1	Activate
GSE89672	up	AC008522.1	Activate
GSE89672	up	PLK3	Activate
GSE89672	up	PRKCE	Activate
GSE89672	up	MTHFR	Activate
GSE89672	up	GPR137B	Activate
GSE89672	up	SQLE	Activate
GSE89672	up	SLC6A6	Activate
GSE89672	up	FOSL1	Activate
GSE89672	up	BCAN	Activate
GSE89672	up	ABTB1	Activate
GSE89672	up	SLC6A9	Activate
GSE89672	up	SNAI3	Activate
GSE89672	up	SNAI1	Activate
GSE89672	up	HBP1	Activate
GSE89672	up	KDM7A	Activate
GSE89672	up	ATF4	Activate
GSE89672	up	TDRKH	Activate
GSE89672	up	CH17-472G23.2	Activate
GSE89672	up	HHLA1	Activate
GSE89672	up	ZNF251	Activate
GSE89672	up	COL13A1	Activate
GSE89672	up	NEDD4L	Activate
GSE89672	up	F11R	Activate
GSE89672	up	PLA2G6	Activate
GSE89672	up	TSKU	Activate
GSE89672	up	GRIN2B	Activate
GSE89672	up	ZNF280A	Activate
GSE89672	up	NETO1	Activate
GSE89672	up	HMOX1	Activate
GSE89672	up	IER2	Activate
GSE89672	up	FAM19A5	Activate
GSE89672	up	RPL23AP87	Activate
GSE89672	up	DUSP5	Activate
GSE89672	up	LYN	Activate
GSE89672	up	CHKA	Activate
GSE89672	up	FAM3C2	Activate
GSE89672	up	EMP1	Activate
GSE89672	up	SLC7A5	Activate
GSE89672	up	SLC7A8	Activate
GSE89672	up	PQLC2	Activate
GSE89672	up	BHLHE40	Activate
GSE89672	up	JDP2	Activate
GSE89672	up	GARS	Activate
GSE89672	up	ZNF114	Activate
GSE89672	up	HRK	Activate
GSE89672	up	C9ORF91	Activate
GSE89672	up	GRAMD1B	Activate
GSE89672	up	BTG1	Activate
GSE89672	up	ABHD6	Activate
GSE89672	up	SH3BGRL2	Activate
GSE89672	up	TCP11L2	Activate
GSE89672	up	RHPN1	Activate
GSE89672	up	TIMP1	Activate
GSE89672	up	RIPK2	Activate
GSE89672	up	DFFA	Activate
GSE89672	up	ARG2	Activate
GSE89672	up	WDR19	Activate
GSE89672	up	CD180	Activate
GSE89672	up	SERPINB8	Activate
GSE89672	up	GID4	Activate
GSE89672	up	CLIP4	Activate
GSE89672	up	OAF	Activate
GSE89672	up	CLIP2	Activate
GSE89672	up	SLCO4C1	Activate
GSE89672	up	FOSB	Activate
GSE89672	up	PELI2	Activate
GSE89672	up	HSD17B7P2	Activate
GSE89672	up	ZNF697	Activate
GSE89672	up	STAG3L1	Activate
GSE89672	up	CCNDBP1	Activate
GSE89672	up	NSDHL	Activate
GSE89672	up	ZSCAN31	Activate
GSE89672	up	GPNMB	Activate
GSE89672	up	TMEM38A	Activate
GSE89672	up	GPAT3	Activate
GSE89672	up	FADS2	Activate
GSE89672	up	SLC17A5	Activate
GSE89672	up	RNF43	Activate
GSE89672	up	SEMA4B	Activate
GSE89672	up	PHLDA1	Activate
GSE89672	up	TLE3	Activate
GSE89672	up	PCDH8	Activate
GSE89672	up	GPT2	Activate
GSE89672	up	SEMA4D	Activate
GSE89672	up	CYBRD1	Activate
GSE89672	up	CORO2B	Activate
GSE89672	up	PSAT1	Activate
GSE89672	up	FKBP9	Activate
GSE89672	up	ADM2	Activate
GSE89672	up	PDCD4	Activate
GSE89672	up	PTPN7	Activate
GSE89672	up	ERP29	Activate
GSE89672	up	SQSTM1	Activate
GSE89672	up	DHCR7	Activate
GSE89672	up	CNIH3	Activate
GSE89672	up	KCNG1	Activate
GSE89672	up	CHRM3	Activate
GSE89672	up	ALDH1L2	Activate
GSE89672	up	SLC27A2	Activate
GSE89672	up	SLC27A1	Activate
GSE89672	up	CCNT1	Activate
GSE89672	up	LSMEM1	Activate
GSE89672	up	PPP1R15A	Activate
GSE89672	up	MPV17L2	Activate
GSE89672	up	EGFR	Activate
GSE89672	up	NPAS2	Activate
GSE89672	up	FAM117B	Activate
GSE89672	up	RNFT2	Activate
GSE89672	up	CTGF	Activate
GSE89672	up	BCL2L11	Activate
GSE89672	up	CDH4	Activate
GSE89672	up	SC5D	Activate
GSE89672	up	GRB10	Activate
GSE89672	up	STX3	Activate
GSE89672	up	ACSS2	Activate
GSE89672	up	LDLR	Activate
GSE89672	up	WDTC1	Activate
GSE89672	up	SH2B3	Activate
GSE89672	up	STOX1	Activate
GSE89672	up	TMEM132E	Activate
GSE89672	up	CERS4	Activate
GSE89672	up	KCND1	Activate
GSE89672	up	SLC38A2	Activate
GSE89672	up	ADGRV1	Activate
GSE89672	up	SLC38A1	Activate
GSE89672	up	PCYT2	Activate
GSE89672	up	GOT1	Activate
GSE89672	up	RABL2A	Activate
GSE89672	up	ZFP69B	Activate
GSE89672	up	FBXO32	Activate
GSE89672	up	MAFF	Activate
GSE89672	up	KIFC3	Activate
GSE89672	up	TPP1	Activate
GSE89672	up	SDAD1P1	Activate
GSE89672	up	TRIM73	Activate
GSE89672	up	PFKFB4	Activate
GSE89672	up	BRI3	Activate
GSE89672	up	INSIG1	Activate
GSE89672	up	EIF4EBP1	Activate
GSE89672	up	FAM107B	Activate
GSE89672	up	PHF21A	Activate
GSE89672	up	SAT1	Activate
GSE89672	up	SAT2	Activate
GSE89672	up	OSBPL10	Activate
GSE89672	up	RP13-582O9.6	Activate
GSE89672	up	KRBOX4	Activate
GSE89672	up	SESN2	Activate
GSE89672	up	THEM6	Activate
GSE89672	up	PLXNA2	Activate
GSE89672	up	SH2D5	Activate
GSE89672	up	KCNJ11	Activate
GSE89672	up	KSR2	Activate
GSE89672	up	HMGCS1	Activate
GSE89672	up	ITGA2	Activate
GSE89672	up	ASNS	Activate
GSE89672	up	WIPI1	Activate
GSE89672	up	DHCR24	Activate
GSE89672	up	NRG3	Activate
GSE89672	up	MERTK	Activate
GSE89672	up	TNFRSF21	Activate
GSE89672	up	NPC2	Activate
GSE89672	up	BCL6	Activate
GSE89672	up	OGT	Activate
GSE89672	up	ITGA6	Activate
GSE89672	up	KHDRBS3	Activate
GSE89672	up	SLC48A1	Activate
GSE89672	up	ONECUT3	Activate
GSE89672	up	CHMP1B2P	Activate
GSE89672	up	SHMT2	Activate
GSE89672	up	ST20-MTHFS	Activate
GSE89672	up	BICD1	Activate
GSE89672	up	ITPR1	Activate
GSE89672	up	ADAMTS17	Activate
GSE89672	up	KDSR	Activate
GSE89672	up	FRG1CP	Activate
GSE89672	up	PPP6R2	Activate
GSE89672	up	RP11-2C24.9	Activate
GSE89672	up	RDH11	Activate
GSE89672	up	AC024592.12	Activate
GSE89672	up	DNAJB9	Activate
GSE89672	up	SPX	Activate
GSE89672	up	PGPEP1	Activate
GSE89672	up	PRKG2	Activate
GSE89672	up	ZNF620	Activate
GSE89672	up	FNIP1	Activate
GSE89672	up	SMIM14	Activate
GSE89672	up	LIMCH1	Activate
GSE89672	up	UNC5B	Activate
GSE89672	up	CYP51A1	Activate
GSE89672	up	RALGAPA2	Activate
GSE89672	up	MID1IP1	Activate
GSE89672	up	NICN1	Activate
GSE89672	up	COBL	Activate
GSE89672	up	FBXL13	Activate
GSE89672	up	RBM14-RBM4	Activate
GSE89672	up	CTDSP2	Activate
GSE89672	up	GLRB	Activate
GSE89672	up	TXNIP	Activate
GSE89672	up	TRIM38	Activate
GSE89672	up	SMPDL3B	Activate
GSE89672	up	CEBPB	Activate
GSE89672	up	GPR89B	Activate
GSE89672	up	ITGB5	Activate
GSE89672	up	CEBPG	Activate
GSE89672	up	DNHD1	Activate
GSE89672	up	PPM1E	Activate
GSE89672	up	FKBP9P1	Activate
GSE89672	up	EFR3B	Activate
GSE89672	up	LRRC8D	Activate
GSE89672	up	TRIM25	Activate
GSE89672	up	PCDH7	Activate
GSE89672	up	ITGB8	Activate
GSE89672	up	UPP1	Activate
GSE89672	up	NEO1	Activate
GSE89672	up	CCNJL	Activate
GSE89672	up	IFRD1	Activate
GSE89672	up	PLEKHA6	Activate
GSE89672	up	PLEKHA7	Activate
GSE89672	up	MYO7A	Activate
GSE89672	up	TMEM170B	Activate
GSE89672	up	TM4SF1	Activate
GSE89672	up	DCLK1	Activate
GSE89672	up	ASS1	Activate
GSE89672	up	RRAGD	Activate
GSE89672	up	FLYWCH1	Activate
GSE89672	up	ASNSP1	Activate
GSE89672	up	CTH	Activate
GSE89672	up	NEURL2	Activate
GSE89672	up	UHRF1BP1	Activate
GSE89672	up	BCOR	Activate
GSE89672	up	ALPK1	Activate
GSE89672	up	TMEM87B	Activate
GSE89672	up	EPAS1	Activate
GSE89672	up	LINC01057	Activate
GSE89672	up	AC009022.1	Activate
GSE89672	up	GLRX	Activate
GSE89672	up	CBLB	Activate
GSE89672	up	ANTXR2	Activate
GSE89672	up	RASIP1	Activate
GSE89672	up	LRP8	Activate
GSE89672	up	CYB5D2	Activate
GSE89672	up	PARD6A	Activate
GSE89672	up	PNP	Activate
GSE89672	up	C1GALT1C1	Activate
GSE89672	up	IFI16	Activate
GSE89672	up	NIPAL4	Activate
GSE89672	up	CHAC1	Activate
GSE89672	up	CMB9-22P13.1	Activate
GSE89672	up	SRGAP2C	Activate
GSE89672	up	WWTR1	Activate
GSE89672	up	EGR1	Activate
GSE89672	up	XBP1	Activate
GSE89672	up	ARRDC1	Activate
GSE89672	up	ST8SIA1	Activate
GSE89672	up	CH17-258A22.4	Activate
GSE89672	up	ARRDC3	Activate
GSE89672	up	SIAH2	Activate
GSE89672	up	RAB39B	Activate
GSE89672	up	ARC	Activate
GSE89672	up	PIK3R1	Activate
GSE89672	up	WNK4	Activate
