Accession	Up/Down	Gene	Effect
GSE72901	up	CEP104	Activate
GSE72901	up	ZFP346	Activate
GSE72901	up	CALCOCO1	Activate
GSE72901	up	ANKRD12	Activate
GSE72901	up	FAM13B	Activate
GSE72901	up	HID1	Activate
GSE72901	up	RORA	Activate
GSE72901	up	SAT2	Activate
GSE72901	up	ZFP57	Activate
GSE72901	up	APMAP	Activate
GSE72901	up	AMDHD2	Activate
GSE72901	up	SESN2	Activate
GSE72901	up	THEM4	Activate
GSE72901	up	TOM1	Activate
GSE72901	up	SLC38A7	Activate
GSE72901	up	SH2D6	Activate
GSE72901	up	4833420G17RIK	Activate
GSE72901	up	TRIT1	Activate
GSE72901	up	GM12258	Activate
GSE72901	up	LANCL1	Activate
GSE72901	up	ASNS	Activate
GSE72901	up	SLC4A11	Activate
GSE72901	up	WIPI2	Activate
GSE72901	up	8-Mar	Activate
GSE72901	up	HAX1	Activate
GSE72901	up	DNAJC3	Activate
GSE72901	up	RRM2B	Activate
GSE72901	up	SYF2	Activate
GSE72901	up	MTFR1	Activate
GSE72901	up	PIK3C3	Activate
GSE72901	up	SERINC3	Activate
GSE72901	up	GM8113	Activate
GSE72901	up	WHAMM	Activate
GSE72901	up	SHMT2	Activate
GSE72901	up	CELF3	Activate
GSE72901	up	SHMT1	Activate
GSE72901	up	MCM10	Activate
GSE72901	up	PTPN22	Activate
GSE72901	up	TARS	Activate
GSE72901	up	PTPN23	Activate
GSE72901	up	UBR2	Activate
GSE72901	up	SPATA5	Activate
GSE72901	up	KDSR	Activate
GSE72901	up	GM21092	Activate
GSE72901	up	GYG	Activate
GSE72901	up	VPS51	Activate
GSE72901	up	TMEM181B-PS	Activate
GSE72901	up	DNAJB9	Activate
GSE72901	up	AC149090.1	Activate
GSE72901	up	IP6K1	Activate
GSE72901	up	ACP2	Activate
GSE72901	up	FNIP1	Activate
GSE72901	up	OVGP1	Activate
GSE72901	up	CCDC57	Activate
GSE72901	up	CEP131	Activate
GSE72901	up	ZFP93	Activate
GSE72901	up	NAGA	Activate
GSE72901	up	KATNA1	Activate
GSE72901	up	MCOLN1	Activate
GSE72901	up	KLF2	Activate
GSE72901	up	RAD52	Activate
GSE72901	up	IMPDH2	Activate
GSE72901	up	APOBR	Activate
GSE72901	up	QTRT1	Activate
GSE72901	up	DNAJA3	Activate
GSE72901	up	BC024978	Activate
GSE72901	up	DTL	Activate
GSE72901	up	EIF3C	Activate
GSE72901	up	ADPGK	Activate
GSE72901	up	AKAP8L	Activate
GSE72901	up	AMBRA1	Activate
GSE72901	up	PRIMPOL	Activate
GSE72901	up	TMA16	Activate
GSE72901	up	SRR	Activate
GSE72901	up	ZFP97	Activate
GSE72901	up	PGM3	Activate
GSE72901	up	SEC11C	Activate
GSE72901	up	ZKSCAN17	Activate
GSE72901	up	CNNM4	Activate
GSE72901	up	ZKSCAN14	Activate
GSE72901	up	TRIM23	Activate
GSE72901	up	VPS39	Activate
GSE72901	up	ZFP956	Activate
GSE72901	up	CTNS	Activate
GSE72901	up	MAPK8IP3	Activate
GSE72901	up	MFSD11	Activate
GSE72901	up	SOAT2	Activate
GSE72901	up	RRAGC	Activate
GSE72901	up	6330416G13RIK	Activate
GSE72901	up	CTH	Activate
GSE72901	up	1810032O08RIK	Activate
GSE72901	up	EPHA4	Activate
GSE72901	up	STX16	Activate
GSE72901	up	TAGLN	Activate
GSE72901	up	SLC23A2	Activate
GSE72901	up	SLC35B1	Activate
GSE72901	up	MRM1	Activate
GSE72901	up	CDKN2AIP	Activate
GSE72901	up	6820431F20RIK	Activate
GSE72901	up	EXOSC5	Activate
GSE72901	up	CHEK1	Activate
GSE72901	up	E2F1	Activate
GSE72901	up	MTHFD1L	Activate
GSE72901	up	CHAC1	Activate
GSE72901	up	CPNE1	Activate
GSE72901	up	CCNL2	Activate
GSE72901	up	ZFP960	Activate
GSE72901	up	LONP1	Activate
GSE72901	up	INSR	Activate
GSE72901	up	XBP1	Activate
GSE72901	up	GADD45A	Activate
GSE72901	up	BROX	Activate
GSE72901	up	RAB39B	Activate
GSE72901	up	MANF	Activate
GSE72901	up	STAM	Activate
